cve_estado,cve_muni,clave,nom_mun,nom_mun_sa,pob_mas,pob_fem,tot_v_h,pob_total,e_cve_estado,e_nombre,e_nombre_s_a,e_nombre_dif,e_nombre_may,e_nom_may_di,e_nom_abrev,e_pais,e_pob_mas,e_pob_fem,e_tot_viv_h,e_pob_tot_16
"01","001","01001",Aguascalientes,Aguascalientes,"386429","410581","202141","797010","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","002","01002",Asientos,Asientos,"22512","22980","10012","45492","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","003","01003",Calvillo,Calvillo,"26250","27886","12847","54136","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","004","01004",Cosío,Cosio,"7326","7716","3467","15042","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","005","01005",Jesús María,Jesus Maria,"49090","50500","22924","99590","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","006","01006",Pabellón de Arteaga,Pabellon De Arteaga,"20170","21692","9416","41862","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","007","01007",Rincón de Romos,Rincon De Romos,"24067","25089","11089","49156","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","008","01008",San José de Gracia,San Jose De Gracia,"4043","4400","1899","8443","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","009","01009",Tepezalá,Tepezala,"9600","10068","4446","19668","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","010","01010",El Llano,El Llano,"9573","9255","4159","18828","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"01","011","01011",San Francisco de los Romo,San Francisco De Los Romo,"17578","18191","8477","35769","1",Aguascalientes,Aguascalientes,Aguascalientes,AGUASCALIENTES,AGUASCALIENTES,Ags.,México,"576638","608358","290877","1184996"
"02","001","02001",Ensenada,Ensenada,"235130","231684","129657","466814","2",Baja California,Baja California,Baja California,BAJA CALIFORNIA,BAJA CALIFORNIA,BC,México,"1591610","1563460","870769","3155070"
"02","002","02002",Mexicali,Mexicali,"473203","463623","265805","936826","2",Baja California,Baja California,Baja California,BAJA CALIFORNIA,BAJA CALIFORNIA,BC,México,"1591610","1563460","870769","3155070"
"02","003","02003",Tecate,Tecate,"53323","47756","26254","101079","2",Baja California,Baja California,Baja California,BAJA CALIFORNIA,BAJA CALIFORNIA,BC,México,"1591610","1563460","870769","3155070"
"02","004","02004",Tijuana,Tijuana,"783653","776030","423987","1559683","2",Baja California,Baja California,Baja California,BAJA CALIFORNIA,BAJA CALIFORNIA,BC,México,"1591610","1563460","870769","3155070"
"02","005","02005",Playas de Rosarito,Playas De Rosarito,"46301","44367","25066","90668","2",Baja California,Baja California,Baja California,BAJA CALIFORNIA,BAJA CALIFORNIA,BC,México,"1591610","1563460","870769","3155070"
"03","001","03001",Comondú,Comondu,"36436","34380","19061","70816","3",Baja California Sur,Baja California Sur,Baja California Sur,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,BCS,México,"325433","311593","178271","637026"
"03","002","03002",Mulegé,Mulege,"30617","28497","16658","59114","3",Baja California Sur,Baja California Sur,Baja California Sur,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,BCS,México,"325433","311593","178271","637026"
"03","003","03003",La Paz,La Paz,"126397","125474","71212","251871","3",Baja California Sur,Baja California Sur,Baja California Sur,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,BCS,México,"325433","311593","178271","637026"
"03","008","03008",Los Cabos,Los Cabos,"123101","115386","66620","238487","3",Baja California Sur,Baja California Sur,Baja California Sur,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,BCS,México,"325433","311593","178271","637026"
"03","009","03009",Loreto,Loreto,"8882","7856","4720","16738","3",Baja California Sur,Baja California Sur,Baja California Sur,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,BCS,México,"325433","311593","178271","637026"
"04","001","04001",Calkiní,Calkini,"26072","26818","12729","52890","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","002","04002",Campeche,Campeche,"125561","133444","71478","259005","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","003","04003",Carmen,Carmen,"110317","110777","59017","221094","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","004","04004",Champotón,Champoton,"41760","41261","21217","83021","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","005","04005",Hecelchakán,Hecelchakan,"14093","14213","6772","28306","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","006","04006",Hopelchén,Hopelchen,"19306","18471","8331","37777","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","007","04007",Palizada,Palizada,"4230","4122","2193","8352","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","008","04008",Tenabo,Tenabo,"5002","4734","2376","9736","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","009","04009",Escárcega,Escarcega,"26809","27375","13339","54184","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","010","04010",Calakmul,Calakmul,"13647","13235","5908","26882","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"04","011","04011",Candelaria,Candelaria,"20924","20270","10367","41194","4",Campeche,Campeche,Campeche,CAMPECHE,CAMPECHE,Camp.,México,"407721","414720","213727","822441"
"05","001","05001",Abasolo,Abasolo,"531","539","362","1070","5",Coahuila,Coahuila,Coahuila de Zaragoza,COAHUILA DE ZARAGOZA,COAHUILA,Coah.,México,"1364197","1384194","727613","2748391"
"05","002","05002",Acuña,Acuña,"68350","68405","36756","136755","5",Coahuila,Coahuila,Coahuila de Zaragoza,COAHUILA DE ZARAGOZA,COAHUILA,Coah.,México,"1364197","1384194","727613","2748391"
"05","003","05003",Allende,Allende,"11114","11561","6324","22675","5",Coahuila,Coahuila,Coahuila de Zaragoza,COAHUILA DE ZARAGOZA,COAHUILA,Coah.,México,"1364197","1384194","727613","2748391"
"05","004","05004",Arteaga,Arteaga,"11540","11004","5902","22544","5",Coahuila,Coahuila,Coahuila de Zaragoza,COAHUILA DE ZARAGOZA,COAHUILA,Coah.,México,"1364197","1384194","727613","2748391"
"05","005","05005",Candela,Candela,"939","869","529","1808","5",Coahuila,Coahuila,Coahuila de Zaragoza,COAHUILA DE ZARAGOZA,COAHUILA,Coah.,México,"1364197","1384194","727613","2748391"
"05","006","05006",Castaños,Castaños,"12945","12947","6858","25892","5",Coahuila,Coahuila,Coahuila de Zaragoza,COAHUILA DE ZARAGOZA,COAHUILA,Coah.,México,"1364197","1384194","727613","2748391"
"05","007","05007",Cuatro Ciénegas,Cuatro Cienegas,"6565","6448","3605","13013","5",Coahuila,Coahuila,Coahuila de Zaragoza,COAHUILA DE ZARAGOZA,COAHUILA,Coah.,México,"1364197","1384194","727613","2748391"
"05","008","05008",Escobedo,Escobedo,"1475","1426","810","2901","5",Coahuila,Coahuila,Coahuila de Zaragoza,COAHUILA DE ZARAGOZA,COAHUILA,Coah.,México,"1364197","1384194","727613","2748391"
