nombre,cve_estado,cve_est_0,nom_abrev,nombre_s_a,nombre_dif,pais,pob_mas,pob_fem,pop_tot_16,tot_viv_h
Aguascalientes,"1","01",Ags.,Aguascalientes,Aguascalientes,México,"576638","608358","1184996","290877"
Baja California,"2","02",BC,Baja California,Baja California,México,"1591610","1563460","3155070","870769"
Baja California Sur,"3","03",BCS,Baja California Sur,Baja California Sur,México,"325433","311593","637026","178271"
Campeche,"4","04",Camp.,Campeche,Campeche,México,"407721","414720","822441","213727"
Coahuila,"5","05",Coah.,Coahuila,Coahuila de Zaragoza,México,"1364197","1384194","2748391","727613"
Colima,"6","06",Col.,Colima,Colima,México,"322790","327765","650555","180488"
Chiapas,"7","07",Chis.,Chiapas,Chiapas,México,"2352807","2443773","4796580","1091100"
Chihuahua,"8","08",Chih.,Chihuahua,Chihuahua,México,"1692545","1713920","3406465","944681"
Ciudad de México,"9","09",CDMX,Ciudad de Mexico,Distrito Federal,México,"4233783","4617297","8851080","2453770"
Durango,"10","10",Dgo.,Durango,Durango,México,"803890","829044","1632934","407784"
Guanajuato,"11","11",Gto.,Guanajuato,Guanajuato,México,"2639425","2846947","5486372","1276913"
Guerrero,"12","12",Gro.,Guerrero,Guerrero,México,"1645561","1743207","3388768","810596"
Hidalgo,"13","13",Hgo.,Hidalgo,Hidalgo,México,"1285222","1379796","2665018","669514"
Jalisco,"14","14",Jal.,Jalisco,Jalisco,México,"3600641","3750041","7350682","1831205"
México,"15","15",Mex.,Mexico,Estado de México,México,"7396986","7778876","15175862","3749499"
Michoacán,"16","16",Mich.,Michoacan,"Michoacán de Ocampo	",México,"2102109","2248928","4351037","1082772"
Morelos,"17","17",Mor.,Morelos,Morelos,México,"858588","918639","1777227","469091"
Nayarit,"18","18",Nay.,Nayarit,Nayarit,México,"541007","543972","1084979","291163"
Nuevo León,"19","19",NL,Nuevo Leon,Nuevo León,México,"2320185","2333273","4653458","1210893"
Oaxaca,"20","20",Oax.,Oaxaca,Oaxaca,México,"1819008","1982954","3801962","941814"
Puebla,"21","21",Pue.,Puebla,Puebla,México,"2769855","3009974","5779829","1392053"
Querétaro,"22","22",Qro.,Queretaro,Querétaro,México,"887188","940749","1827937","454392"
Quintana Roo,"23","23",Q. Roo,Quintana Roo,Quintana Roo,México,"673220","652358","1325578","369326"
San Luis Potosí,"24","24",SLP,San Luis Potosi,San Luis Potosí,México,"1260366","1325152","2585518","639265"
Sinaloa,"25","25",Sin.,Sinaloa,Sinaloa,México,"1376201","1391560","2767761","713296"
Sonora,"26","26",Son.,Sonora,Sonora,México,"1339612","1322868","2662480","712402"
Tabasco,"27","27",Tab.,Tabasco,Tabasco,México,"1100758","1137845","2238603","567233"
Tamaulipas,"28","28",Tamps.,Tamaulipas,Tamaulipas,México,"1616201","1652353","3268554","901387"
Tlaxcala,"29","29",Tlax.,Tlaxcala,Tlaxcala,México,"565775","604161","1169936","274243"
Veracruz,"30","30",Ver.,Veracruz,"Veracruz de Ignacio de la Llave	",México,"3695679","3947515","7643194","2014588"
Yucatán,"31","31",Yuc.,Yucatan,Yucatán,México,"963333","992244","1955577","507248"
Zacatecas,"32","32",Zac.,Zacatecas,Zacatecas,México,"726897","763771","1490668","377018"
